DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2000-01-01,2000,1,1,PMC12_VRELETR12,2000-01-01T00:00:00-02:00,24.9
2000-02-01,2000,1,2,PMC12_VRELETR12,2000-02-01T00:00:00-02:00,24.0
2000-03-01,2000,1,3,PMC12_VRELETR12,2000-03-01T00:00:00-03:00,25.4
2000-04-01,2000,1,4,PMC12_VRELETR12,2000-04-01T00:00:00-03:00,24.3
2000-05-01,2000,1,5,PMC12_VRELETR12,2000-05-01T00:00:00-03:00,29.4
2000-06-01,2000,1,6,PMC12_VRELETR12,2000-06-01T00:00:00-03:00,25.7
2000-07-01,2000,1,7,PMC12_VRELETR12,2000-07-01T00:00:00-03:00,28.4
2000-08-01,2000,1,8,PMC12_VRELETR12,2000-08-01T00:00:00-03:00,29.3
2000-09-01,2000,1,9,PMC12_VRELETR12,2000-09-01T00:00:00-03:00,27.2
2000-10-01,2000,1,10,PMC12_VRELETR12,2000-10-01T00:00:00-03:00,28.7
2000-11-01,2000,1,11,PMC12_VRELETR12,2000-11-01T00:00:00-03:00,30.5
2000-12-01,2000,1,12,PMC12_VRELETR12,2000-12-01T00:00:00-02:00,46.5
2001-01-01,2001,1,1,PMC12_VRELETR12,2001-01-01T00:00:00-02:00,27.7
2001-02-01,2001,1,2,PMC12_VRELETR12,2001-02-01T00:00:00-02:00,23.8
2001-03-01,2001,1,3,PMC12_VRELETR12,2001-03-01T00:00:00-03:00,28.1
2001-04-01,2001,1,4,PMC12_VRELETR12,2001-04-01T00:00:00-03:00,25.1
2001-05-01,2001,1,5,PMC12_VRELETR12,2001-05-01T00:00:00-03:00,29.5
2001-06-01,2001,1,6,PMC12_VRELETR12,2001-06-01T00:00:00-03:00,25.0
2001-07-01,2001,1,7,PMC12_VRELETR12,2001-07-01T00:00:00-03:00,26.9
2001-08-01,2001,1,8,PMC12_VRELETR12,2001-08-01T00:00:00-03:00,27.1
2001-09-01,2001,1,9,PMC12_VRELETR12,2001-09-01T00:00:00-03:00,25.5
2001-10-01,2001,1,10,PMC12_VRELETR12,2001-10-01T00:00:00-03:00,28.5
2001-11-01,2001,1,11,PMC12_VRELETR12,2001-11-01T00:00:00-03:00,28.4
2001-12-01,2001,1,12,PMC12_VRELETR12,2001-12-01T00:00:00-02:00,44.5
2002-01-01,2002,1,1,PMC12_VRELETR12,2002-01-01T00:00:00-02:00,27.9
2002-02-01,2002,1,2,PMC12_VRELETR12,2002-02-01T00:00:00-02:00,23.6
2002-03-01,2002,1,3,PMC12_VRELETR12,2002-03-01T00:00:00-03:00,27.0
2002-04-01,2002,1,4,PMC12_VRELETR12,2002-04-01T00:00:00-03:00,27.2
2002-05-01,2002,1,5,PMC12_VRELETR12,2002-05-01T00:00:00-03:00,30.0
2002-06-01,2002,1,6,PMC12_VRELETR12,2002-06-01T00:00:00-03:00,25.5
2002-07-01,2002,1,7,PMC12_VRELETR12,2002-07-01T00:00:00-03:00,26.8
2002-08-01,2002,1,8,PMC12_VRELETR12,2002-08-01T00:00:00-03:00,27.5
2002-09-01,2002,1,9,PMC12_VRELETR12,2002-09-01T00:00:00-03:00,25.2
2002-10-01,2002,1,10,PMC12_VRELETR12,2002-10-01T00:00:00-03:00,28.4
2002-11-01,2002,1,11,PMC12_VRELETR12,2002-11-01T00:00:00-03:00,27.9
2002-12-01,2002,1,12,PMC12_VRELETR12,2002-12-01T00:00:00-02:00,40.8
2003-01-01,2003,1,1,PMC12_VRELETR12,2003-01-01T00:00:00-02:00,24.9
2003-02-01,2003,1,2,PMC12_VRELETR12,2003-02-01T00:00:00-02:00,23.0
2003-03-01,2003,1,3,PMC12_VRELETR12,2003-03-01T00:00:00-03:00,22.7
2003-04-01,2003,1,4,PMC12_VRELETR12,2003-04-01T00:00:00-03:00,22.8
2003-05-01,2003,1,5,PMC12_VRELETR12,2003-05-01T00:00:00-03:00,26.8
2003-06-01,2003,1,6,PMC12_VRELETR12,2003-06-01T00:00:00-03:00,24.3
2003-07-01,2003,1,7,PMC12_VRELETR12,2003-07-01T00:00:00-03:00,26.5
2003-08-01,2003,1,8,PMC12_VRELETR12,2003-08-01T00:00:00-03:00,27.2
2003-09-01,2003,1,9,PMC12_VRELETR12,2003-09-01T00:00:00-03:00,27.0
2003-10-01,2003,1,10,PMC12_VRELETR12,2003-10-01T00:00:00-03:00,30.1
2003-11-01,2003,1,11,PMC12_VRELETR12,2003-11-01T00:00:00-03:00,30.5
2003-12-01,2003,1,12,PMC12_VRELETR12,2003-12-01T00:00:00-02:00,49.3
2004-01-01,2004,1,1,PMC12_VRELETR12,2004-01-01T00:00:00-02:00,29.6
2004-02-01,2004,1,2,PMC12_VRELETR12,2004-02-01T00:00:00-02:00,26.8
2004-03-01,2004,1,3,PMC12_VRELETR12,2004-03-01T00:00:00-03:00,31.0
