DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IEMS12,1993-01-01T00:00:00-02:00,0.0
1993-02-01,1993,1,2,CONFAZ12_IEMS12,1993-02-01T00:00:00-02:00,0.0
1993-03-01,1993,1,3,CONFAZ12_IEMS12,1993-03-01T00:00:00-03:00,0.0
1993-04-01,1993,1,4,CONFAZ12_IEMS12,1993-04-01T00:00:00-03:00,0.0
1993-05-01,1993,1,5,CONFAZ12_IEMS12,1993-05-01T00:00:00-03:00,0.0
1993-06-01,1993,1,6,CONFAZ12_IEMS12,1993-06-01T00:00:00-03:00,0.0
1993-07-01,1993,1,7,CONFAZ12_IEMS12,1993-07-01T00:00:00-03:00,2.0
1993-08-01,1993,1,8,CONFAZ12_IEMS12,1993-08-01T00:00:00-03:00,0.0
1993-09-01,1993,1,9,CONFAZ12_IEMS12,1993-09-01T00:00:00-03:00,0.0
1993-10-01,1993,1,10,CONFAZ12_IEMS12,1993-10-01T00:00:00-03:00,661.0
1993-11-01,1993,1,11,CONFAZ12_IEMS12,1993-11-01T00:00:00-03:00,0.0
1993-12-01,1993,1,12,CONFAZ12_IEMS12,1993-12-01T00:00:00-02:00,3.0
1994-01-01,1994,1,1,CONFAZ12_IEMS12,1994-01-01T00:00:00-02:00,0.0
1994-02-01,1994,1,2,CONFAZ12_IEMS12,1994-02-01T00:00:00-02:00,0.0
1994-03-01,1994,1,3,CONFAZ12_IEMS12,1994-03-01T00:00:00-03:00,0.0
1994-04-01,1994,1,4,CONFAZ12_IEMS12,1994-04-01T00:00:00-03:00,0.0
1994-05-01,1994,1,5,CONFAZ12_IEMS12,1994-05-01T00:00:00-03:00,502.0
1994-06-01,1994,1,6,CONFAZ12_IEMS12,1994-06-01T00:00:00-03:00,1.0
1994-07-01,1994,1,7,CONFAZ12_IEMS12,1994-07-01T00:00:00-03:00,0.0
1994-08-01,1994,1,8,CONFAZ12_IEMS12,1994-08-01T00:00:00-03:00,0.0
1994-09-01,1994,1,9,CONFAZ12_IEMS12,1994-09-01T00:00:00-03:00,0.0
1994-10-01,1994,1,10,CONFAZ12_IEMS12,1994-10-01T00:00:00-03:00,14.0
1994-11-01,1994,1,11,CONFAZ12_IEMS12,1994-11-01T00:00:00-03:00,0.0
1994-12-01,1994,1,12,CONFAZ12_IEMS12,1994-12-01T00:00:00-02:00,0.0
1995-01-01,1995,1,1,CONFAZ12_IEMS12,1995-01-01T00:00:00-02:00,0.0
1995-02-01,1995,1,2,CONFAZ12_IEMS12,1995-02-01T00:00:00-02:00,0.0
1995-03-01,1995,1,3,CONFAZ12_IEMS12,1995-03-01T00:00:00-03:00,52.0
1995-04-01,1995,1,4,CONFAZ12_IEMS12,1995-04-01T00:00:00-03:00,52.0
1995-05-01,1995,1,5,CONFAZ12_IEMS12,1995-05-01T00:00:00-03:00,0.0
1995-06-01,1995,1,6,CONFAZ12_IEMS12,1995-06-01T00:00:00-03:00,50.0
1995-07-01,1995,1,7,CONFAZ12_IEMS12,1995-07-01T00:00:00-03:00,1043.0
1995-08-01,1995,1,8,CONFAZ12_IEMS12,1995-08-01T00:00:00-03:00,0.0
1995-09-01,1995,1,9,CONFAZ12_IEMS12,1995-09-01T00:00:00-03:00,1179.0
1995-10-01,1995,1,10,CONFAZ12_IEMS12,1995-10-01T00:00:00-03:00,151.0
1995-11-01,1995,1,11,CONFAZ12_IEMS12,1995-11-01T00:00:00-03:00,1045.0
1995-12-01,1995,1,12,CONFAZ12_IEMS12,1995-12-01T00:00:00-02:00,0.0
1996-01-01,1996,1,1,CONFAZ12_IEMS12,1996-01-01T00:00:00-02:00,378.0
1996-02-01,1996,1,2,CONFAZ12_IEMS12,1996-02-01T00:00:00-02:00,0.0
1996-03-01,1996,1,3,CONFAZ12_IEMS12,1996-03-01T00:00:00-03:00,957.0
1996-04-01,1996,1,4,CONFAZ12_IEMS12,1996-04-01T00:00:00-03:00,0.0
1996-05-01,1996,1,5,CONFAZ12_IEMS12,1996-05-01T00:00:00-03:00,0.0
1996-06-01,1996,1,6,CONFAZ12_IEMS12,1996-06-01T00:00:00-03:00,0.0
1996-07-01,1996,1,7,CONFAZ12_IEMS12,1996-07-01T00:00:00-03:00,0.0
1996-08-01,1996,1,8,CONFAZ12_IEMS12,1996-08-01T00:00:00-03:00,0.0
1996-09-01,1996,1,9,CONFAZ12_IEMS12,1996-09-01T00:00:00-03:00,0.0
1996-10-01,1996,1,10,CONFAZ12_IEMS12,1996-10-01T00:00:00-03:00,0.0
1996-11-01,1996,1,11,CONFAZ12_IEMS12,1996-11-01T00:00:00-03:00,0.0
1996-12-01,1996,1,12,CONFAZ12_IEMS12,1996-12-01T00:00:00-02:00,0.0
1997-01-01,1997,1,1,CONFAZ12_IEMS12,1997-01-01T00:00:00-02:00,0.0
1997-02-01,1997,1,2,CONFAZ12_IEMS12,1997-02-01T00:00:00-02:00,0.0
1997-03-01,1997,1,3,CONFAZ12_IEMS12,1997-03-01T00:00:00-03:00,
1997-04-01,1997,1,4,CONFAZ12_IEMS12,1997-04-01T00:00:00-03:00,
1997-05-01,1997,1,5,CONFAZ12_IEMS12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IEMS12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IEMS12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IEMS12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IEMS12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IEMS12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IEMS12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IEMS12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IEMS12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IEMS12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IEMS12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IEMS12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IEMS12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IEMS12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IEMS12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IEMS12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IEMS12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IEMS12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IEMS12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IEMS12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IEMS12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IEMS12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IEMS12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IEMS12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IEMS12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IEMS12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IEMS12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IEMS12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IEMS12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IEMS12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IEMS12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IEMS12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IEMS12,2000-01-01T00:00:00-02:00,0.0
2000-02-01,2000,1,2,CONFAZ12_IEMS12,2000-02-01T00:00:00-02:00,0.0
2000-03-01,2000,1,3,CONFAZ12_IEMS12,2000-03-01T00:00:00-03:00,1260.0
2000-04-01,2000,1,4,CONFAZ12_IEMS12,2000-04-01T00:00:00-03:00,0.0
2000-05-01,2000,1,5,CONFAZ12_IEMS12,2000-05-01T00:00:00-03:00,21.0
2000-06-01,2000,1,6,CONFAZ12_IEMS12,2000-06-01T00:00:00-03:00,0.0
2000-07-01,2000,1,7,CONFAZ12_IEMS12,2000-07-01T00:00:00-03:00,0.0
2000-08-01,2000,1,8,CONFAZ12_IEMS12,2000-08-01T00:00:00-03:00,554.0
2000-09-01,2000,1,9,CONFAZ12_IEMS12,2000-09-01T00:00:00-03:00,5018.0
2000-10-01,2000,1,10,CONFAZ12_IEMS12,2000-10-01T00:00:00-03:00,204.0
2000-11-01,2000,1,11,CONFAZ12_IEMS12,2000-11-01T00:00:00-03:00,1030.0
2000-12-01,2000,1,12,CONFAZ12_IEMS12,2000-12-01T00:00:00-02:00,25416.0
2001-01-01,2001,1,1,CONFAZ12_IEMS12,2001-01-01T00:00:00-02:00,101692.0
2001-02-01,2001,1,2,CONFAZ12_IEMS12,2001-02-01T00:00:00-02:00,94485.0
2001-03-01,2001,1,3,CONFAZ12_IEMS12,2001-03-01T00:00:00-03:00,66958.0
2001-04-01,2001,1,4,CONFAZ12_IEMS12,2001-04-01T00:00:00-03:00,173828.0
2001-05-01,2001,1,5,CONFAZ12_IEMS12,2001-05-01T00:00:00-03:00,87071.0
