DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Barril)
1979-01-01,1979,1,1,ANP12_CGLP12,1979-01-01T00:00:00-02:00,0.0
1979-02-01,1979,1,2,ANP12_CGLP12,1979-02-01T00:00:00-02:00,0.0
1979-03-01,1979,1,3,ANP12_CGLP12,1979-03-01T00:00:00-03:00,0.0
1979-04-01,1979,1,4,ANP12_CGLP12,1979-04-01T00:00:00-03:00,0.0
1979-05-01,1979,1,5,ANP12_CGLP12,1979-05-01T00:00:00-03:00,0.0
1979-06-01,1979,1,6,ANP12_CGLP12,1979-06-01T00:00:00-03:00,0.0
1979-07-01,1979,1,7,ANP12_CGLP12,1979-07-01T00:00:00-03:00,0.0
1979-08-01,1979,1,8,ANP12_CGLP12,1979-08-01T00:00:00-03:00,0.0
1979-09-01,1979,1,9,ANP12_CGLP12,1979-09-01T00:00:00-03:00,0.0
1979-10-01,1979,1,10,ANP12_CGLP12,1979-10-01T00:00:00-03:00,0.0
1979-11-01,1979,1,11,ANP12_CGLP12,1979-11-01T00:00:00-03:00,0.0
1979-12-01,1979,1,12,ANP12_CGLP12,1979-12-01T00:00:00-02:00,80.0
1980-01-01,1980,1,1,ANP12_CGLP12,1980-01-01T00:00:00-02:00,0.0
1980-02-01,1980,1,2,ANP12_CGLP12,1980-02-01T00:00:00-02:00,0.0
1980-03-01,1980,1,3,ANP12_CGLP12,1980-03-01T00:00:00-03:00,0.0
1980-04-01,1980,1,4,ANP12_CGLP12,1980-04-01T00:00:00-03:00,0.0
1980-05-01,1980,1,5,ANP12_CGLP12,1980-05-01T00:00:00-03:00,0.0
1980-06-01,1980,1,6,ANP12_CGLP12,1980-06-01T00:00:00-03:00,0.0
1980-07-01,1980,1,7,ANP12_CGLP12,1980-07-01T00:00:00-03:00,0.0
1980-08-01,1980,1,8,ANP12_CGLP12,1980-08-01T00:00:00-03:00,0.0
1980-09-01,1980,1,9,ANP12_CGLP12,1980-09-01T00:00:00-03:00,0.0
1980-10-01,1980,1,10,ANP12_CGLP12,1980-10-01T00:00:00-03:00,0.0
1980-11-01,1980,1,11,ANP12_CGLP12,1980-11-01T00:00:00-03:00,0.0
1980-12-01,1980,1,12,ANP12_CGLP12,1980-12-01T00:00:00-02:00,85.0
1981-01-01,1981,1,1,ANP12_CGLP12,1981-01-01T00:00:00-02:00,0.0
1981-02-01,1981,1,2,ANP12_CGLP12,1981-02-01T00:00:00-02:00,0.0
1981-03-01,1981,1,3,ANP12_CGLP12,1981-03-01T00:00:00-03:00,0.0
1981-04-01,1981,1,4,ANP12_CGLP12,1981-04-01T00:00:00-03:00,0.0
1981-05-01,1981,1,5,ANP12_CGLP12,1981-05-01T00:00:00-03:00,0.0
1981-06-01,1981,1,6,ANP12_CGLP12,1981-06-01T00:00:00-03:00,0.0
1981-07-01,1981,1,7,ANP12_CGLP12,1981-07-01T00:00:00-03:00,0.0
1981-08-01,1981,1,8,ANP12_CGLP12,1981-08-01T00:00:00-03:00,0.0
1981-09-01,1981,1,9,ANP12_CGLP12,1981-09-01T00:00:00-03:00,0.0
1981-10-01,1981,1,10,ANP12_CGLP12,1981-10-01T00:00:00-03:00,0.0
1981-11-01,1981,1,11,ANP12_CGLP12,1981-11-01T00:00:00-03:00,0.0
1981-12-01,1981,1,12,ANP12_CGLP12,1981-12-01T00:00:00-02:00,91.0
1982-01-01,1982,1,1,ANP12_CGLP12,1982-01-01T00:00:00-02:00,0.0
1982-02-01,1982,1,2,ANP12_CGLP12,1982-02-01T00:00:00-02:00,0.0
1982-03-01,1982,1,3,ANP12_CGLP12,1982-03-01T00:00:00-03:00,0.0
1982-04-01,1982,1,4,ANP12_CGLP12,1982-04-01T00:00:00-03:00,0.0
1982-05-01,1982,1,5,ANP12_CGLP12,1982-05-01T00:00:00-03:00,0.0
1982-06-01,1982,1,6,ANP12_CGLP12,1982-06-01T00:00:00-03:00,0.0
1982-07-01,1982,1,7,ANP12_CGLP12,1982-07-01T00:00:00-03:00,0.0
1982-08-01,1982,1,8,ANP12_CGLP12,1982-08-01T00:00:00-03:00,0.0
1982-09-01,1982,1,9,ANP12_CGLP12,1982-09-01T00:00:00-03:00,0.0
1982-10-01,1982,1,10,ANP12_CGLP12,1982-10-01T00:00:00-03:00,0.0
1982-11-01,1982,1,11,ANP12_CGLP12,1982-11-01T00:00:00-03:00,0.0
1982-12-01,1982,1,12,ANP12_CGLP12,1982-12-01T00:00:00-02:00,102.0
1983-01-01,1983,1,1,ANP12_CGLP12,1983-01-01T00:00:00-02:00,0.0
1983-02-01,1983,1,2,ANP12_CGLP12,1983-02-01T00:00:00-02:00,0.0
1983-03-01,1983,1,3,ANP12_CGLP12,1983-03-01T00:00:00-03:00,0.0
1983-04-01,1983,1,4,ANP12_CGLP12,1983-04-01T00:00:00-03:00,0.0
1983-05-01,1983,1,5,ANP12_CGLP12,1983-05-01T00:00:00-03:00,0.0
1983-06-01,1983,1,6,ANP12_CGLP12,1983-06-01T00:00:00-03:00,0.0
1983-07-01,1983,1,7,ANP12_CGLP12,1983-07-01T00:00:00-03:00,0.0
1983-08-01,1983,1,8,ANP12_CGLP12,1983-08-01T00:00:00-03:00,0.0
1983-09-01,1983,1,9,ANP12_CGLP12,1983-09-01T00:00:00-03:00,0.0
1983-10-01,1983,1,10,ANP12_CGLP12,1983-10-01T00:00:00-03:00,0.0
1983-11-01,1983,1,11,ANP12_CGLP12,1983-11-01T00:00:00-03:00,0.0
1983-12-01,1983,1,12,ANP12_CGLP12,1983-12-01T00:00:00-02:00,106.0
1984-01-01,1984,1,1,ANP12_CGLP12,1984-01-01T00:00:00-02:00,0.0
1984-02-01,1984,1,2,ANP12_CGLP12,1984-02-01T00:00:00-02:00,0.0
1984-03-01,1984,1,3,ANP12_CGLP12,1984-03-01T00:00:00-03:00,0.0
1984-04-01,1984,1,4,ANP12_CGLP12,1984-04-01T00:00:00-03:00,0.0
1984-05-01,1984,1,5,ANP12_CGLP12,1984-05-01T00:00:00-03:00,0.0
1984-06-01,1984,1,6,ANP12_CGLP12,1984-06-01T00:00:00-03:00,0.0
1984-07-01,1984,1,7,ANP12_CGLP12,1984-07-01T00:00:00-03:00,0.0
