DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2003-01-01,2003,1,1,PMC12_VNOUT12,2003-01-01T00:00:00-02:00,13.3
2003-02-01,2003,1,2,PMC12_VNOUT12,2003-02-01T00:00:00-02:00,12.7
2003-03-01,2003,1,3,PMC12_VNOUT12,2003-03-01T00:00:00-03:00,12.7
2003-04-01,2003,1,4,PMC12_VNOUT12,2003-04-01T00:00:00-03:00,15.3
2003-05-01,2003,1,5,PMC12_VNOUT12,2003-05-01T00:00:00-03:00,16.0
2003-06-01,2003,1,6,PMC12_VNOUT12,2003-06-01T00:00:00-03:00,14.7
2003-07-01,2003,1,7,PMC12_VNOUT12,2003-07-01T00:00:00-03:00,15.7
2003-08-01,2003,1,8,PMC12_VNOUT12,2003-08-01T00:00:00-03:00,16.4
2003-09-01,2003,1,9,PMC12_VNOUT12,2003-09-01T00:00:00-03:00,15.6
2003-10-01,2003,1,10,PMC12_VNOUT12,2003-10-01T00:00:00-03:00,18.3
2003-11-01,2003,1,11,PMC12_VNOUT12,2003-11-01T00:00:00-03:00,18.7
2003-12-01,2003,1,12,PMC12_VNOUT12,2003-12-01T00:00:00-02:00,31.8
2004-01-01,2004,1,1,PMC12_VNOUT12,2004-01-01T00:00:00-02:00,16.6
2004-02-01,2004,1,2,PMC12_VNOUT12,2004-02-01T00:00:00-02:00,16.2
2004-03-01,2004,1,3,PMC12_VNOUT12,2004-03-01T00:00:00-03:00,17.3
2004-04-01,2004,1,4,PMC12_VNOUT12,2004-04-01T00:00:00-03:00,18.1
2004-05-01,2004,1,5,PMC12_VNOUT12,2004-05-01T00:00:00-03:00,20.0
2004-06-01,2004,1,6,PMC12_VNOUT12,2004-06-01T00:00:00-03:00,18.7
2004-07-01,2004,1,7,PMC12_VNOUT12,2004-07-01T00:00:00-03:00,19.5
2004-08-01,2004,1,8,PMC12_VNOUT12,2004-08-01T00:00:00-03:00,19.8
2004-09-01,2004,1,9,PMC12_VNOUT12,2004-09-01T00:00:00-03:00,18.7
2004-10-01,2004,1,10,PMC12_VNOUT12,2004-10-01T00:00:00-03:00,21.6
2004-11-01,2004,1,11,PMC12_VNOUT12,2004-11-01T00:00:00-03:00,22.0
2004-12-01,2004,1,12,PMC12_VNOUT12,2004-12-01T00:00:00-02:00,39.3
2005-01-01,2005,1,1,PMC12_VNOUT12,2005-01-01T00:00:00-02:00,19.9
2005-02-01,2005,1,2,PMC12_VNOUT12,2005-02-01T00:00:00-02:00,18.4
2005-03-01,2005,1,3,PMC12_VNOUT12,2005-03-01T00:00:00-03:00,23.5
2005-04-01,2005,1,4,PMC12_VNOUT12,2005-04-01T00:00:00-03:00,21.9
2005-05-01,2005,1,5,PMC12_VNOUT12,2005-05-01T00:00:00-03:00,23.7
2005-06-01,2005,1,6,PMC12_VNOUT12,2005-06-01T00:00:00-03:00,23.1
2005-07-01,2005,1,7,PMC12_VNOUT12,2005-07-01T00:00:00-03:00,23.7
2005-08-01,2005,1,8,PMC12_VNOUT12,2005-08-01T00:00:00-03:00,24.5
2005-09-01,2005,1,9,PMC12_VNOUT12,2005-09-01T00:00:00-03:00,23.1
